X,Y
389,1250
67,1137
523,298
17,1658
139,2038
557,1220
374,56
355,1793
128,1716
128,1685
268,1408
565,976
217,1640
239,123
567,1560
370,1479
394,2129
39,1287
15,1206
324,1045
273,1013
582,898
430,903
414,318
158,1724
156,919
38,400
281,2029
163,1591
396,855
487,2203
175,2310
245,2241
157,1860
411,1577
85,657
32,2097
266,1942
199,1780
185,1324
15,846
101,2135
316,1683
16,1107
337,904
88,104
567,2190
449,952
364,2010
41,2032
204,1861
38,1821
200,1738
543,1628
330,1208
116,1206
421,1202
338,1138
110,657
59,612
315,396
449,212
147,1379
62,2295
195,2221
368,2125
213,1986
491,1889
322,1746
203,1659
460,1622
103,1490
284,1481
381,1456
144,1455
44,1381
21,1368
84,1357
286,1338
119,1270
247,1253
237,1140
313,1103
336,1072
200,1039
122,944
193,894
478,888
90,864
336,777
255,740
191,690
454,680
562,624
430,599
326,588
549,582
50,530
278,501
74,495
325,241
567,182
66,142
455,121
136,59
146,1908
294,1445
122,1476
294,1391
99,1295
402,749
557,348
58,1363
471,1257
374,1229
256,1101
289,839
173,822
301,2198
94,1092
207,856
27,1980
310,784
78,67
520,520
454,263
398,234
519,945
58,1187
49,2085
308,1140
530,546
336,694
74,1759
263,62
367,1907
577,1542
29,63
494,1411
380,1501
287,2269
315,1953
67,1904
90,1892
479,1597
431,1546
458,631
266,287
577,1144
20,591
22,661
345,992
542,2325
425,2245
185,1248
341,2099
112,1698
501,1556
362,2151
356,402
216,226
570,1908
37,1895
202,1300
480,2299
516,2269
49,1309
76,1994
252,1921
392,1686
172,1466
493,2256
29,2148
154,2096
325,2076
57,2056
20,1961
192,1932
208,1905
451,1845
323,1796
467,1752
393,1752
475,1703
230,1615
557,1612
370,1612
371,1577
467,1525
206,1466
181,1355
71,1308
374,1280
302,1181
436,1111
483,1103
148,1035
130,995
254,953
359,921
318,886
359,832
263,821
483,747
79,684
358,497
499,424
521,364
404,338
24,330
184,135
567,115
284,57
354,2303
552,2255
205,2165
120,2092
314,2016
482,1922
34,1872
13,1574
136,1191
64,1007
14,995
206,962
403,959
444,930
508,816
489,784
213,753
281,729
301,710
179,528
345,473
224,455
214,346
131,332
568,310
180,282
509,226
410,205
310,59
440,40
158,1350
232,1287
543,947
286,2109
225,950
170,942
253,2214
482,2052
330,1596
351,233
141,2225
443,1429
496,1257
68,1117
347,1109
104,991
238,416
11,145
583,134
376,2076
172,2279
127,2058
348,1834
101,1621
585,796
577,570
471,2119
533,1798
258,1388
543,2128
48,1972
210,1830
295,1796
430,1749
472,1651
255,1633
515,1520
446,1389
305,1302
17,1270
162,1203
526,1124
435,1036
399,772
49,644
313,178
34,125
59,1941
542,1887
126,714
136,274
221,1693
578,1521
421,1992
185,2249
526,2172
159,2130
548,2101
266,1161
287,924
261,847
