X,Y
767,1176
767,946
1200,954
761,585
37,733
924,651
475,719
760,1094
1202,659
464,659
912,807
912,733
911,659
911,585
27,580
1058,1090
920,1015
763,795
475,888
1066,1017
1056,592
171,662
29,1178
771,1030
1206,1029
172,958
1069,587
464,576
773,1087
1216,1074
171,588
1216,587
760,1018
1055,888
774,719
774,796
1061,1180
23,886
171,649
172,1090
759,1029
1058,1168
615,799
1212,728
615,1168
328,1168
771,1102
1206,1094
921,1094
623,1094
328,1094
1066,946
913,946
623,946
475,946
320,946
180,946
912,880
1058,807
763,807
328,807
1058,733
615,733
328,733
180,733
1058,659
763,659
615,659
328,659
36,660
475,1024
767,732
472,732
322,1021
466,953
26,734
622,650
618,578
919,797
1211,1174
173,1103
1066,881
467,873
770,872
173,872
476,585
771,584
1060,577
472,1175
1213,803
918,1168
177,1168
472,1102
29,1102
29,1028
1058,1025
921,1025
