X,Y
468,1142
184,1140
392,881
773,846
834,958
767,1176
535,1139
108,590
767,946
1200,954
1132,956
100,701
37,733
924,651
173,958
108,1141
169,917
475,719
926,615
760,1094
403,1061
912,807
912,770
912,733
911,696
403,618
258,618
911,585
27,580
920,1015
691,795
36,761
260,1070
538,1018
538,957
832,905
1129,609
1129,578
98,1070
475,888
1130,762
1130,880
774,1065
838,1055
1066,1017
260,946
1056,762
1142,846
99,773
259,1092
97,905
250,699
1056,592
1069,1130
923,1128
171,662
540,733
29,1178
109,886
403,1017
771,1030
1202,1141
923,845
772,794
1206,1029
998,845
392,845
464,576
1216,1074
689,736
171,588
1216,587
541,649
701,1070
995,960
1055,888
774,719
479,609
833,577
994,885
32,692
263,1168
1061,1180
776,908
23,886
999,909
172,1090
699,590
258,914
1058,1102
328,1102
468,983
846,1168
615,1168
395,1168
328,1168
100,1168
771,1139
615,1139
328,1139
250,1139
846,1131
403,1131
913,1102
615,1102
395,1102
108,1102
1206,1094
986,1094
846,1094
698,1094
1206,983
1141,983
1066,983
986,983
913,983
846,983
771,983
698,983
623,983
543,983
403,983
328,983
258,983
180,983
108,983
1066,946
913,946
698,946
623,946
475,946
403,946
320,946
108,946
912,917
912,880
1058,807
846,807
615,807
403,807
328,807
258,807
108,807
846,770
763,770
615,770
403,770
328,770
258,770
1058,733
846,733
615,733
403,733
328,733
258,733
180,733
108,733
1058,696
838,696
623,696
403,696
328,696
763,688
1058,659
838,659
763,659
615,659
328,659
250,659
108,659
395,651
615,622
328,622
108,622
399,910
104,843
542,842
1214,840
1213,765
1213,728
1213,693
1213,619
1138,1168
177,1065
108,1025
475,1024
694,910
176,843
32,840
993,618
993,1024
1059,914
1134,913
327,877
251,876
993,581
396,581
1138,1132
1138,1095
471,843
990,769
695,769
472,769
989,658
1138,652
1141,1020
544,1096
617,1064
322,1021
1058,1065
615,585
328,585
543,770
1213,1171
993,1066
542,1058
699,1028
1206,918
698,881
173,872
172,622
542,615
695,1175
472,1175
177,1175
1213,803
1136,1065
990,1168
918,1168
547,1168
990,1139
695,1139
29,1139
472,1102
29,1102
472,1065
29,1065
921,1062
328,1062
29,1028
846,1025
623,1025
258,1025
180,1025
29,991
29,955
472,918
29,918
623,914
551,914
328,914
846,877
763,877
623,877
543,877
695,844
1066,840
846,840
623,840
328,840
258,840
1138,807
990,807
547,807
472,807
177,807
29,807
177,770
1138,733
990,733
1138,696
990,696
695,696
547,696
472,696
177,696
695,659
472,659
29,659
767,622
695,622
29,622
1066,619
846,619
767,585
547,585
258,582
1206,877
1213,655
