X,Y
733,622
325,622
438,614
293,604
1176,596
733,596
881,585
768,585
658,585
699,582
624,582
589,582
476,582
396,582
296,582
211,582
801,581
551,1005
544,785
771,748
438,677
551,582
437,1175
618,1176
693,1113
441,1100
71,1100
1104,897
434,860
661,805
441,731
108,731
994,727
1207,602
69,596
959,578
139,578
986,1096
