X,Y
321,261
438,84
373,84
464,1733
305,1611
197,573
267,1075
324,1731
276,1692
117,763
83,1233
439,1580
331,1108
134,456
218,1790
405,632
197,442
132,656
31,208
456,1548
141,818
317,1642
197,1538
172,666
417,1788
147,1760
353,976
27,642
256,1829
24,1286
413,852
189,847
461,300
260,1766
344,161
165,1159
356,1825
117,941
296,858
466,799
145,763
468,502
379,426
244,1316
394,1554
412,762
453,345
447,1332
182,498
283,1133
85,1172
431,894
373,1651
38,1330
399,50
345,1351
170,1079
408,1056
358,849
331,1861
95,1445
325,1248
231,994
208,824
460,52
243,1876
294,1351
80,1295
94,1279
417,1170
337,1081
464,939
466,890
425,521
68,264
395,260
174,1619
31,1721
276,821
311,1280
381,1364
235,1433
136,345
460,911
226,748
174,1712
221,1255
458,133
106,718
244,1478
420,1363
42,574
419,1094
466,1790
403,1484
434,1863
66,1403
387,586
386,313
243,1090
332,1471
56,864
358,1596
246,295
241,1030
34,911
411,218
169,1796
108,1309
394,930
92,1128
197,1296
108,1171
301,581
268,42
153,987
239,1559
20,1553
387,1124
349,740
207,656
126,139
199,1473
27,528
263,420
245,264
122,1818
176,1364
96,463
355,1858
84,408
245,1726
273,1181
214,1749
181,1509
359,583
347,505
41,505
309,470
397,436
319,402
423,379
95,228
301,225
236,216
38,161
172,154
213,130
81,45
182,25
388,1392
346,91
321,1680
62,1064
461,959
124,574
53,618
401,909
29,997
343,826
260,674
324,518
76,455
77,242
84,1671
422,661
368,640
225,1840
287,1659
308,771
109,49
101,1785
271,1344
472,831
339,791
352,602
106,1110
74,693
188,1728
58,1423
290,1270
253,955
380,1010
201,1686
259,893
307,1137
382,1323
453,1200
432,811
429,606
319,1779
472,767
419,1823
29,1749
428,421
177,642
211,366
149,1684
400,1154
424,1018
275,87
64,822
119,1423
49,746
230,548
87,166
410,874
69,184
250,1213
26,1039
416,1590
385,484
380,1472
97,1348
366,1226
293,1187
317,432
192,420
165,266
75,1383
67,1314
341,1174
234,772
458,23
45,1176
275,528
12,166
190,815
478,1188
289,30
289,892
236,462
432,751
63,1695
411,690
35,1107
198,1317
275,721
69,212
59,1443
67,594
54,1208
55,936
143,187
378,113
161,1520
110,643
460,522
266,1789
390,1501
102,9
73,890
317,899
291,1467
453,1520
416,1503
459,1399
270,1387
58,1281
123,539
296,397
329,332
362,377
460,1349
392,1632
179,1098
118,882
48,1022
13,255
236,1158
413,1543
38,358
23,666
480,1401
58,35
21,741
242,1118
460,680
407,1283
253,849
260,1501
217,1041
224,1324
431,1724
95,1526
218,1122
261,1028
115,902
47,261
148,1120
157,215
158,916
75,92
