X,Y
328,98
1058,98
842,574
250,98
328,541
328,615
328,578
1058,615
250,615
250,541
842,213
842,131
328,135
842,250
1058,135
250,135
842,57
771,172
1058,541
615,98
838,98
842,611
838,172
771,541
1058,172
254,57
254,213
767,574
842,537
615,615
328,209
842,287
1058,209
615,135
1058,578
994,98
615,209
250,578
913,541
172,541
108,98
399,131
395,578
172,135
250,172
172,615
108,615
399,537
328,172
913,578
771,209
913,615
108,172
994,615
994,209
172,172
324,250
771,98
254,250
771,615
172,98
771,135
108,135
399,250
254,287
172,578
324,57
108,541
324,287
994,135
615,578
1210,131
615,172
1210,537
399,57
1210,250
551,98
399,213
615,246
1210,213
395,615
1210,611
842,500
1062,57
551,135
395,98
254,500
1210,574
395,172
399,287
172,246
172,209
108,578
1210,57
1210,94
1062,287
842,463
1133,615
551,209
551,615
399,500
994,246
108,246
1062,463
324,500
994,172
842,324
1133,135
623,541
1210,287
690,135
551,246
254,463
254,324
324,463
551,172
690,246
690,615
33,135
33,98
399,463
1062,250
690,98
1062,500
324,324
917,500
619,57
1210,324
1210,463
33,615
994,578
771,246
108,209
399,324
1133,209
33,172
1133,98
1133,246
33,209
690,209
1062,324
33,246
690,172
1210,500
254,426
1210,176
842,426
842,398
399,389
615,393
1062,389
842,361
172,393
476,98
1210,426
104,57
767,65
913,430
763,504
476,135
254,389
1210,398
690,578
615,430
324,389
399,426
476,246
551,578
913,393
619,287
324,426
476,615
1062,426
104,500
476,209
399,361
994,430
551,430
254,361
108,393
550,541
551,393
1133,172
33,578
108,430
32,541
1210,361
994,541
468,541
690,430
619,500
324,361
33,430
104,287
1062,361
771,393
994,393
691,541
1134,541
476,172
619,464
172,430
1133,430
767,287
690,393
771,430
1133,578
468,393
104,464
104,324
1133,393
33,393
258,24
403,24
172,504
619,324
619,361
476,430
913,246
846,24
986,504
476,578
32,504
698,504
104,28
320,24
475,504
763,24
1141,504
619,28
767,464
543,504
1058,24
913,172
913,209
1206,24
172,61
104,361
767,324
986,24
913,357
172,24
32,24
543,24
921,24
691,61
543,61
913,135
475,24
994,61
180,357
698,24
1141,61
767,353
1134,24
543,357
916,279
913,320
176,287
698,357
921,98
547,471
32,61
180,320
921,61
547,279
32,320
543,320
176,464
468,61
468,357
1141,357
472,279
994,357
698,320
1141,320
472,471
917,464
472,316
986,320
32,357
690,283
986,283
32,283
1141,283
1137,471
990,464
694,471
32,467
