X,Y
842,924
842,1142
842,1105
988,627
988,959
696,959
988,664
696,627
696,664
842,773
1139,627
254,1105
254,924
254,1142
254,773
1139,959
842,810
1062,773
1062,924
1139,664
1062,1142
254,810
1062,810
842,847
470,627
399,810
399,773
470,959
1062,1105
1062,847
254,847
470,664
399,924
399,1105
399,847
399,1142
545,664
545,627
470,701
545,959
178,959
178,627
545,701
178,664
988,701
693,701
178,701
842,994
254,994
1139,701
1062,994
254,1072
399,994
399,1072
842,1072
765,664
765,627
1062,1072
765,701
765,959
324,1035
917,738
619,885
104,812
104,775
102,664
104,849
102,627
102,701
104,922
176,996
547,996
767,996
104,1107
104,1144
102,959
104,997
767,1070
547,1070
176,1070
104,1070
176,849
472,996
472,1070
917,1033
547,849
767,849
767,812
399,701
324,738
472,849
767,775
1137,1070
1062,701
176,812
547,812
176,775
842,701
254,701
472,812
547,775
1137,996
767,1144
990,996
1062,959
399,959
1062,664
767,922
324,1072
472,775
399,627
399,664
990,1070
324,994
918,959
913,627
254,1035
1137,849
1062,627
254,959
842,664
767,1107
1062,1035
842,1035
1137,812
254,664
254,627
399,1035
765,738
842,627
842,959
1137,775
547,922
178,738
176,922
842,738
917,1072
472,922
176,1144
545,738
324,847
324,701
990,849
470,738
547,1144
694,996
767,1033
472,1144
990,812
694,1070
324,664
324,959
990,775
915,701
324,810
104,1033
102,738
1137,922
399,738
324,773
621,959
176,1107
472,1107
619,849
547,1107
1062,738
324,627
842,887
254,738
619,812
324,887
399,887
1062,887
1139,738
619,701
324,924
916,922
619,627
619,664
621,738
324,1107
619,1070
619,996
916,884
694,738
547,1033
915,664
324,1144
254,887
917,1144
619,1033
988,738
990,922
694,849
1137,1144
916,849
176,1033
619,775
694,812
1137,1107
917,1107
694,775
990,1144
472,1033
990,1107
694,922
619,922
104,885
1137,1033
619,1144
619,1107
694,1144
990,1033
694,1107
547,885
767,885
694,1033
176,885
916,812
916,996
104,1180
472,885
324,1180
619,1180
1209,885
254,1180
399,1180
1062,1180
842,1180
767,1180
915,775
1137,885
1209,701
990,885
1209,627
1209,738
1209,959
1209,664
324,591
694,885
917,1180
1209,1033
399,591
1209,1070
619,591
176,1180
104,591
254,591
1062,591
547,1180
767,591
1209,996
842,591
472,1180
176,591
547,591
30,664
29,1070
30,627
29,1033
1137,1180
30,959
30,738
30,701
1209,849
29,996
1209,812
472,591
990,1180
1209,775
1137,591
29,849
29,775
29,812
1209,922
990,591
694,1180
1209,1144
915,591
29,885
1209,1107
29,922
29,1144
29,1107
694,591
28,1181
1210,1181
28,590
1210,590
