X,Y
1067,101
358,618
620,337
585,97
585,216
142,216
177,577
358,101
620,216
624,618
589,544
585,134
514,544
695,134
1028,493
138,101
358,581
585,60
358,544
620,134
1028,60
695,577
259,101
142,577
624,175
1028,134
1028,337
1067,618
142,134
1032,581
138,544
181,175
585,337
1138,337
620,253
514,618
585,300
514,138
1067,138
691,175
624,101
177,540
624,378
620,300
71,581
801,175
142,337
589,581
1028,540
624,544
514,581
589,618
71,175
1063,577
801,101
691,101
138,175
71,618
177,134
1028,614
695,419
922,378
589,175
1067,544
585,419
695,263
142,300
177,60
695,614
624,581
1028,97
695,216
589,378
177,493
404,618
514,378
1138,540
922,544
358,138
142,60
404,378
620,456
695,337
71,378
142,419
142,263
1028,263
620,530
177,97
177,300
585,263
918,577
922,175
514,175
1134,581
510,337
847,101
142,253
801,378
358,212
177,374
177,216
801,618
847,138
255,253
1063,253
1063,216
695,374
259,618
620,60
1134,175
255,337
1028,300
177,290
142,614
1138,216
1032,378
1063,337
142,290
691,544
358,378
177,614
1028,216
801,581
1028,419
801,544
585,456
468,212
71,138
358,175
468,618
142,456
1028,456
1067,378
177,503
259,544
514,212
514,304
695,530
847,378
138,378
71,544
1028,290
620,503
620,419
404,175
1063,300
585,290
71,101
142,503
695,493
1067,175
177,419
259,378
847,212
177,456
585,503
1138,60
847,618
468,138
404,101
695,290
695,300
177,263
801,138
585,493
255,216
1138,300
177,337
510,97
468,101
620,50
620,263
362,337
620,493
620,290
585,530
922,618
695,503
358,304
695,60
695,50
585,253
142,50
510,263
400,337
1063,263
142,530
1032,175
400,577
177,253
255,577
1028,503
404,304
259,138
1063,290
142,493
255,300
1138,263
695,253
801,212
847,304
177,530
468,304
259,175
1028,530
255,263
400,134
1063,411
362,263
1063,60
847,175
255,456
177,50
1063,456
177,87
847,581
876,101
510,60
695,456
1138,134
404,212
255,60
801,304
1138,50
404,544
695,466
142,327
843,448
876,618
71,212
1063,50
1138,530
585,50
695,87
1063,530
847,249
142,87
510,456
472,337
1028,50
585,327
1134,101
1138,253
142,567
695,327
1063,87
843,411
1028,253
510,290
1138,503
362,253
922,138
255,290
986,101
472,577
255,419
468,175
468,249
620,466
1138,290
695,189
71,341
71,304
876,212
695,604
585,466
510,493
400,263
1063,493
1138,419
177,327
585,87
362,456
585,189
362,60
1138,493
1138,374
585,226
620,87
510,253
1138,226
772,249
510,419
510,503
620,327
1063,503
1028,327
986,138
255,530
876,378
288,101
1138,614
255,503
255,493
142,226
772,618
255,50
772,138
400,60
142,604
922,101
585,567
1063,327
620,567
400,253
472,540
177,226
922,304
1028,87
843,540
177,466
142,189
876,304
362,503
1028,226
510,327
620,604
585,604
362,419
510,226
510,466
801,249
288,138
468,378
772,378
142,466
1138,604
510,604
847,341
922,212
400,456
805,448
986,378
510,87
1138,456
1063,226
71,249
1028,189
876,138
177,604
801,341
1063,567
472,530
362,466
288,249
400,290
472,263
288,618
400,530
1138,327
362,290
986,212
876,175
362,50
362,604
1138,87
955,437
510,50
695,226
620,189
400,50
1180,138
288,212
918,604
255,567
400,503
255,87
288,378
986,618
362,327
329,101
922,341
400,419
433,378
1180,101
737,101
433,138
805,411
695,392
585,429
472,493
472,50
177,567
400,466
1180,618
737,618
772,101
177,189
362,530
362,87
142,392
1063,466
922,249
955,448
472,60
400,493
400,87
255,327
433,249
1063,604
510,567
