X,Y
130,930
292,1424
464,226
337,1103
238,1097
177,573
317,1191
281,1084
273,1655
25,875
418,914
86,930
40,1231
268,842
350,1017
458,1413
197,1327
197,926
430,1465
198,1306
356,1691
307,1153
124,1562
440,415
358,945
192,1216
97,620
61,1001
24,549
293,714
96,425
203,1738
34,613
79,1579
30,746
317,862
325,773
71,833
242,1659
119,686
306,1353
23,1373
414,1000
98,1241
86,955
103,528
225,1652
159,826
275,229
401,860
358,597
122,1142
394,916
418,674
376,324
16,673
408,1462
342,1632
342,586
172,414
198,1164
126,501
397,438
104,1674
177,1629
411,840
250,411
230,343
478,1604
96,710
220,1204
308,468
198,899
209,1812
109,582
87,1012
175,664
434,1394
444,892
459,15
75,510
351,408
408,1484
120,209
420,481
318,570
176,533
128,139
72,67
123,299
9,157
389,1311
248,1620
105,761
125,907
404,1511
299,506
76,785
304,1739
479,1198
102,1292
110,1431
214,359
338,1283
129,1231
229,1026
68,738
104,1530
351,869
172,226
137,766
318,825
460,762
402,100
128,1027
281,606
216,1593
39,362
423,378
213,131
371,1098
344,160
429,1566
326,1158
356,1218
24,648
95,229
96,398
461,127
343,681
36,1000
36,1745
37,161
33,573
395,262
49,55
239,868
212,1062
266,199
254,655
91,573
135,693
158,586
391,995
97,1791
302,55
76,452
262,294
144,1442
245,361
346,90
88,439
303,552
70,702
319,404
26,1633
192,221
300,1494
239,215
241,288
238,182
7,333
114,930
417,869
205,1013
382,550
175,1005
324,520
117,339
194,1104
415,612
212,1146
39,1073
406,944
457,981
353,1609
223,150
460,211
10,232
463,619
477,1275
323,378
95,488
401,456
369,1617
56,1437
322,998
262,1579
409,892
346,1237
360,582
191,305
180,23
80,122
228,324
68,811
117,313
7,382
298,224
49,1537
155,1149
142,40
45,271
203,736
265,892
100,344
13,809
289,1128
418,962
154,884
412,1044
345,203
101,92
184,434
458,400
226,1111
340,565
51,155
60,631
86,141
327,301
312,659
294,1338
332,1088
358,898
315,1274
196,1089
165,1503
383,421
278,1399
125,69
402,380
133,1817
49,811
284,517
235,603
74,1431
247,799
72,866
109,1577
176,383
488,1482
65,1275
385,1416
217,200
323,318
237,754
435,26
267,42
212,1332
288,178
301,1077
191,128
369,131
273,718
172,680
103,69
226,1534
68,266
285,787
75,1158
167,1055
114,599
141,604
40,599
15,794
261,169
82,908
163,110
332,939
436,1687
274,1312
65,895
127,357
333,45
142,814
169,357
95,1176
223,1398
364,747
143,909
25,406
388,239
261,1102
266,1200
453,1343
443,746
204,1772
244,720
52,1661
240,1173
302,1387
27,686
237,140
444,192
123,946
83,178
13,884
53,415
372,264
42,250
295,154
148,659
362,1063
196,157
112,468
339,1550
174,71
201,1193
159,770
116,564
124,269
9,900
254,480
90,1316
386,311
34,1102
313,1289
274,465
42,507
310,1058
149,567
407,1143
428,554
114,1390
12,745
39,27
207,653
111,865
115,545
438,527
88,208
265,1781
124,1175
265,927
289,393
170,154
416,538
177,729
44,1204
115,85
74,36
188,768
144,1614
342,711
23,1821
302,139
113,35
378,342
433,490
298,79
19,1093
71,400
42,1316
359,1745
442,4
454,1711
326,1017
421,1018
291,840
445,462
267,84
42,786
449,995
319,1798
420,731
135,633
87,356
192,1054
28,344
75,664
363,1478
337,1791
435,1738
10,458
298,289
377,1053
183,241
248,741
103,192
374,1127
409,338
131,972
139,116
67,987
403,125
45,318
379,857
224,222
296,39
13,713
343,224
421,1526
46,181
248,890
471,851
27,473
405,39
385,208
59,1131
242,25
96,649
363,97
57,487
472,1404
63,1346
401,182
287,659
203,609
187,1816
308,450
143,943
377,1771
53,100
49,303
487,1822
347,1046
64,426
442,1830
271,656
147,781
165,266
77,481
59,1050
427,143
113,1831
151,436
327,204
38,1623
279,371
56,958
405,1175
64,1737
429,858
416,1382
57,1550
381,670
58,530
409,413
392,1471
321,1429
121,183
384,1215
431,506
235,411
170,946
409,714
220,727
290,1176
8,831
216,1473
257,373
223,1008
152,60
99,1419
279,409
418,1783
250,1848
367,1560
109,1741
1,56
29,498
447,1530
22,303
304,351
7,1553
139,92
70,215
68,848
205,230
77,240
256,968
33,1117
137,341
21,1159
80,1127
256,96
393,169
9,1215
66,1026
314,181
347,740
248,1832
385,1146
263,1478
301,581
163,38
315,292
126,710
360,225
357,443
83,1302
12,1520
323,1556
384,1499
346,761
197,260
215,112
6,1237
174,99
353,139
343,624
384,1372
331,1745
262,945
357,175
56,193
317,491
3,298
5,922
430,1355
465,1466
372,84
298,931
173,1289
81,1071
9,508
396,768
385,185
212,885
52,1018
154,1346
97,778
313,1862
59,657
112,446
191,943
251,933
472,1486
60,1411
377,223
452,344
219,85
62,1331
369,189
124,1599
289,356
238,110
270,1030
460,1258
287,1251
359,535
109,1001
70,96
169,1816
469,1702
28,1538
350,1402
228,1488
343,291
301,1831
238,81
42,1265
120,1350
133,523
302,793
8,687
79,288
267,1256
6,1008
29,707
197,1440
282,987
299,810
482,1022
297,271
324,1396
87,1057
197,23
145,1099
258,1462
411,1086
449,1222
407,788
