X,Y
843,910
661,1061
362,1039
1138,752
63,914
400,836
695,632
733,910
142,789
211,1153
1138,835
805,751
551,1153
1138,789
994,618
695,1065
400,1028
733,670
918,1113
661,1153
585,825
1063,788
1207,600
733,1021
990,1002
400,670
1138,872
510,585
994,581
620,789
880,873
510,1065
620,825
805,781
914,914
805,1113
211,1061
400,632
321,1043
33,932
880,604
510,789
142,752
695,595
472,633
805,836
142,825
1028,825
33,914
620,751
1172,581
177,825
101,581
585,873
585,751
1172,1043
733,707
585,789
880,751
400,991
880,825
142,873
510,835
990,965
441,1043
620,873
733,640
177,789
805,670
211,1043
695,789
362,826
362,751
1028,873
880,1021
551,1043
1028,751
955,1113
1172,618
1028,789
805,707
880,640
880,788
917,965
292,1002
296,581
1097,1043
661,1043
321,581
805,910
177,596
959,600
695,825
358,914
695,751
296,618
63,877
177,751
1207,581
771,618
994,914
880,1113
211,581
321,618
880,707
1097,581
33,877
880,670
1207,1043
296,914
884,914
551,618
292,965
441,914
441,618
101,618
1059,1116
1176,1002
1172,1116
1207,618
699,1116
1176,965
358,877
551,914
506,1116
211,914
994,1116
63,840
661,618
1097,618
321,914
251,1116
366,1116
211,618
1172,914
296,877
959,581
990,751
63,747
990,873
581,1116
101,914
1211,1002
67,1002
990,788
211,877
990,825
296,1116
441,1116
251,840
661,1116
551,1116
990,670
67,818
321,1116
990,633
954,751
67,965
321,877
211,1116
1207,1116
990,1021
661,914
551,877
67,781
33,840
1172,877
771,914
917,843
514,747
101,877
441,877
1211,965
67,1021
839,840
951,914
1211,825
33,747
764,1116
990,707
1211,1028
959,618
1104,1116
292,788
292,670
1211,873
1172,747
1211,751
771,877
661,877
1097,877
292,825
1104,914
917,1002
1211,788
292,751
1100,751
1207,914
764,747
951,877
1176,1028
468,840
67,640
292,707
922,747
108,1116
1100,1002
292,1028
1100,965
292,633
67,707
884,840
441,747
325,1002
1176,825
211,747
33,784
325,965
661,747
551,747
771,600
434,600
1100,825
67,677
1100,788
321,747
1176,781
1176,670
994,840
33,821
441,840
951,840
544,600
654,600
551,840
1211,670
358,784
211,840
296,840
321,840
922,821
1100,1028
764,840
437,1002
1172,840
101,747
764,784
1100,670
661,840
1176,633
551,784
922,784
1176,707
441,784
101,840
1100,633
437,965
916,633
437,585
321,784
1211,633
