Ponto A, Ponto B, Distância
5,13,660.5399306627874
5,14,661.8761213399378
5,15,419.3149174546501
5,16,897.9487735945743
5,17,296.00168918436935
5,18,293.00170647967224
5,19,887.0022547885659
5,20,415.77878733768995
5,21,328.70959827787203
5,22,935.4036561827198
5,23,899.427595751876
5,24,936.3508957650438
5,25,417.90549170835266
6,7,418.6096033298806
6,8,295.0
6,9,897.1254092934834
6,10,932.8719097496719
6,11,531.4028603611388
6,12,593.000843169721
6,13,442.0
6,14,147.0
6,15,329.59672328468315
6,16,416.4864943788694
6,17,610.9484429966247
6,18,738.0006775064641
6,19,329.59672328468315
6,20,990.5781140324068
6,21,885.0
6,22,532.7898272302128
6,23,295.0
6,24,330.9380606699689
6,25,898.2761268117949
7,8,295.006779583114
7,9,606.3398387043359
7,10,588.0
7,11,147.0136048126159
7,12,418.60721446243616
7,13,331.3879901263774
7,14,532.515727467274
7,15,442.00452486371677
7,16,591.0
7,17,531.9586450091774
7,18,328.7019926924691
7,19,610.2196325914138
7,20,607.3096409575596
7,21,657.8518070203958
7,22,611.189823213705
7,23,661.4295124954737
7,24,740.2013239653115
7,25,737.0006784257394
8,9,608.0370054527931
8,10,659.6400533624379
8,11,442.0
8,12,298.00167784762556
8,13,531.4028603611388
8,14,329.59672328468315
8,15,147.0
8,16,658.745777975085
8,17,332.2845166419886
8,18,531.9586450091774
8,19,608.0370054527931
8,20,738.6000270782556
8,21,590.0
8,22,738.6000270782556
8,23,590.0
8,24,609.2495383666696
8,25,609.2495383666696
9,10,148.0
9,11,659.6400533624379
9,12,327.365239449762
9,13,932.8719097496719
9,14,932.5561645284428
9,15,659.1934465693663
9,16,1188.2529192053348
9,17,414.36698710201324
9,18,416.4864943788694
9,19,1180.0
9,20,296.00168918436935
9,21,147.0
9,22,1217.529055094785
9,23,1189.1211040091753
9,24,1217.2863262191029
9,25,295.0016949103852
10,11,608.0370054527931
10,12,415.7884077268148
10,13,897.1254092934834
10,14,989.2365743339659
10,15,737.2001085187115
10,16,1179.0
10,17,529.7433340779287
10,18,328.7019926924691
10,19,1189.2451387329695
10,20,148.00337833982033
10,21,295.0
10,22,1190.2373712835604
10,23,1216.3161595572099
10,24,1261.352448762835
10,25,443.00112866673373
11,12,533.9035493420137
11,13,295.0
11,14,658.745777975085
11,15,589.0
11,16,607.0667179149257
11,17,660.0946901770988
11,18,296.0
11,19,659.6400533624379
11,20,591.0008460230831
11,21,737.2001085187115
11,22,591.0008460230831
11,23,737.2001085187115
11,24,835.0934079490748
11,25,835.0934079490748
12,13,740.2013239653115
12,14,610.7086048190249
12,15,331.84333653096
12,16,935.0855575828342
12,17,146.0
12,18,443.00451464968165
12,19,900.2488544841365
12,20,531.9633446018626
12,21,292.00171232374646
12,22,993.7087098340237
12,23,888.0005630628846
