Ponto A, Ponto B, Distância
1,2,295.0
1,3,148.0
1,4,415.07710127155894
1,5,395.9040287746514
1,6,327.365239449762
1,7,292.0
1,8,295.0
1,9,330.04393646907073
1,10,417.19300090006305
1,11,453.08387744434253
1,12,738.20390137143
1,13,267.36678926149375
1,14,531.6812955145216
1,15,443.00451464968165
1,16,533.3460415152624
1,17,163.682619724881
1,18,610.2196325914138
1,19,661.4295124954737
1,20,592.0
1,21,536.4037658331641
1,22,304.13977050034083
1,23,301.2308085173228
1,24,627.9251547756309
1,25,74.0
1,26,264.0378760708395
1,27,632.6080935302678
1,28,329.1519405988669
1,29,467.38634982207174
1,30,464.53955698088834
1,31,207.8942038634074
1,32,146.0
1,33,497.30875721225743
1,34,596.6070733740927
1,35,331.40006035002466
1,36,211.43556938225885
1,37,697.5851202541522
1,38,149.0
1,39,445.0
1,40,168.15766411317682
1,41,470.8640992898057
1,42,370.80048543657546
1,43,580.2663181677875
1,44,368.40195439221003
1,45,222.00900882621858
1,46,397.94723268292745
1,47,771.6249088773639
1,48,473.67710520986765
1,49,472.5843839993023
1,50,305.83982736066275
1,51,742.6957654383119
1,52,795.7047191012505
1,53,370.00540536592166
1,54,753.6743328520615
1,55,739.0
1,56,165.92166826548
1,57,861.6089600276914
1,58,302.92738403782516
1,59,596.4838639896304
1,60,163.23296235748464
1,61,536.2574008813305
1,62,785.3152233339171
1,63,537.0819304351991
1,64,595.3696330851952
1,65,73.02739212103907
1,66,464.2240838215958
1,67,440.0
1,68,529.7405025104273
1,69,446.1793361418702
1,70,593.8787755089418
1,71,682.6895341222099
1,72,625.0839943559586
1,73,516.0038759544351
1,74,450.9478905594304
1,75,493.72563231009184
1,76,743.6907959629459
1,77,826.0036319532742
1,78,448.15176000993233
1,79,575.0147824186784
1,80,680.1860039724428
1,81,902.7120249559102
2,3,147.0
2,4,292.0
2,5,163.23296235748464
2,6,326.91436187478826
2,7,415.07710127155894
2,8,417.19300090006305
2,9,329.59672328468315
2,10,295.0
2,11,498.6481725625794
2,12,609.7376485013862
2,13,165.92166826548
2,14,329.15042154006125
2,15,148.0135128966271
2,16,331.8327892177022
2,17,264.87166703896435
2,18,609.9778684509791
2,19,592.0
2,20,661.4295124954737
2,21,448.0
2,22,368.6000542593558
2,23,366.2034953410467
2,24,470.2393007820593
2,25,221.0
2,26,164.13713778423212
2,27,596.3623059852123
2,28,146.0
2,29,210.01190442448734
2,30,206.47518010647187
2,31,207.18349355100662
2,32,329.1519405988669
2,33,452.2620921545382
2,34,631.9058474171608
2,35,151.0
2,36,210.7368026710095
2,37,596.6070733740927
2,38,330.4935702854142
2,39,533.9007398384085
2,40,267.6602323842674
2,41,470.55074115338505
2,42,305.83982736066275
2,43,453.2482763342846
2,44,302.92738403782516
2,45,73.02739212103907
2,46,166.3640586184408
2,47,742.5967950375224
2,48,306.08005488760614
2,49,303.41555662160766
2,50,472.8985091962122
2,51,771.3377988922882
2,52,739.0
2,53,75.02666192761077
2,54,753.478599563385
2,55,795.7047191012505
2,56,397.0201506221063
2,57,753.6743328520615
2,58,471.02016941952706
2,59,697.0566691453429
2,60,395.9040287746514
2,61,264.87166703896435
2,62,631.9058474171608
2,63,266.5370518333239
2,64,370.20264720825537
2,65,368.0054347424777
2,66,463.9062405271134
2,67,529.7405025104273
2,68,440.0
2,69,492.3829810218871
2,70,367.8002175094517
2,71,498.6481725625794
2,72,465.1720111958586
2,73,221.00904958847272
2,74,577.4504307730664
2,75,447.0011185668331
2,76,826.8984218149168
2,77,742.6957654383119
2,78,575.7820768311567
2,79,447.1655174541078
2,80,494.619045326805
2,81,772.5826816593807
3,4,326.91436187478826
3,5,264.0378760708395
3,6,292.0
3,7,327.365239449762
3,8,330.04393646907073
3,9,295.0
3,10,329.59672328468315
3,11,453.08387744434253
3,12,660.5399306627874
3,13,166.3640586184408
3,14,416.4864943788694
3,15,295.006779583114
3,16,418.6096033298806
3,17,163.682619724881
3,18,592.0
3,19,609.9778684509791
3,20,610.2196325914138
3,21,471.5007953333695
3,22,304.13977050034083
3,23,301.2308085173228
3,24,534.4698307669012
3,25,74.0
3,26,162.78820596099706
3,27,596.7319331156998
3,28,207.18349355100662
3,29,330.4935702854142
3,30,327.3606573795941
3,31,146.0
3,32,207.8942038634074
3,33,451.7742799230607
3,34,596.6070733740927
3,35,210.7368026710095
3,36,151.0
3,37,631.9058474171608
3,38,210.01190442448734
3,39,468.96588362054655
3,40,168.15766411317682
3,41,447.0
3,42,306.08005488760614
3,43,499.09217585532235
3,44,303.16991935216794
3,45,74.02702209328699
3,46,266.5370518333239
3,47,742.6957654383119
3,48,370.20264720825537
3,49,368.40195439221003
3,50,370.20264720825537
3,51,742.6957654383119
3,52,753.478599563385
3,53,222.00900882621858
3,54,739.0
3,55,753.6743328520615
3,56,266.5370518333239
3,57,795.7047191012505
3,58,367.8002175094517
3,59,631.9058474171608
3,60,264.87166703896435
3,61,395.9040287746514
