Ponto A, Ponto B, Distância
1,2,584.0
1,3,1175.0
1,4,1181.0152412225677
1,5,1312.128423592752
1,6,1317.5040796900782
1,7,1320.6218232332828
1,8,591.0
1,9,1315.2589098728813
2,3,1312.128423592752
2,4,1320.1746096634338
2,5,1175.0
2,6,1181.0
2,7,1665.9489788105757
2,8,1175.0
2,9,1661.7009357883867
3,4,2356.007640055524
3,5,584.0
3,6,2427.301382193814
3,7,2428.995059690324
3,8,1315.2589098728813
3,9,591.0
4,5,2428.7519428710707
4,6,590.0
4,7,585.0
4,8,1317.9476469116669
4,9,2427.5421726511777
5,6,2356.0
5,7,2632.7478041012587
5,8,1661.7009357883867
5,9,1175.0
6,7,1175.0
6,8,1665.9489788105757
6,9,2632.7478041012587
7,8,1181.0
7,9,2356.0
8,9,1175.0
