Ponto A,Ponto B,Distância
1,2,295.0
1,3,435.00114942376877
1,4,214.34784813475503
1,5,329.59672328468315
1,6,850.6385836534809
1,7,733.8296805117657
1,8,623.0096307441804
1,9,526.1568207293335
1,10,459.48775827001094
1,11,459.1666364186318
1,12,525.594901040716
1,13,620.8655248924682
1,14,818.8540773544454
1,15,696.7366790976345
1,16,578.8583591864248
1,17,473.05073723650406
1,18,397.57389250301634
1,19,369.0
1,20,397.20271902392614
1,21,476.82806125478817
1,22,576.5500845546725
1,23,788.2804069618882
1,24,660.5346319459715
1,25,533.9007398384085
1,26,417.9007059099087
1,27,330.04393646907073
1,28,295.0
1,29,329.59672328468315
1,30,417.19300090006305
1,31,532.2349105423281
1,32,763.6766331373509
1,33,630.9690959151644
1,34,496.8561159933528
1,35,369.4008662686107
1,36,265.9793225045887
1,37,221.0
1,38,265.42418879973997
1,39,368.6000542593558
1,40,495.0656522119061
1,41,745.6339584541466
1,42,609.0073891177348
1,43,468.65125626632005
1,44,208.5976989326584
1,45,147.0
1,46,207.88939366884497
1,47,329.59672328468315
1,48,466.75261113356396
1,49,734.7360070120424
1,50,595.6148084122825
1,51,450.12442724206824
1,52,304.13977050034083
1,53,165.46903033498444
1,54,74.0
1,55,164.57521077003062
1,56,304.13977050034083
1,57,449.13806340589747
1,58,731.0
1,59,591.0
1,60,444.0
1,61,295.0
1,62,148.0
1,63,147.0
1,64,443.0
1,65,734.7360070120424
1,66,595.6148084122825
1,67,450.12442724206824
1,68,304.13977050034083
1,69,165.46903033498444
1,70,74.0
1,71,164.57521077003062
1,72,304.13977050034083
1,73,449.13806340589747
1,74,745.8317504638698
1,75,609.2495383666696
1,76,467.06851745755677
1,77,330.04393646907073
1,78,148.0
1,79,208.5976989326584
1,80,330.04393646907073
1,81,467.06851745755677
1,82,815.6972477580147
